expiry,strike,option_type,bid,ask,open_interest,volume,dte,mid,half_spread,T,F,iv,k,w,weight
14,4630.0,p,0.05,0.05,2296.0,2777.0,14.0,0.05,0.0,0.038356164383561646,5002.8761411272035,0.13243448448023407,-0.07745610718106063,0.0006727246507222878,3.0312095179158045
14,4755.0,p,1.14,1.15,5896.0,3162.0,14.0,1.145,0.0050000000000000044,0.038356164383561646,5002.8761411272035,0.13151176036648227,-0.050816279281849695,0.0006633830235771912,0.1589596583290224
14,4880.0,p,11.32,11.41,1824.0,4853.0,14.0,11.365,0.04499999999999993,0.038356164383561646,5002.8761411272035,0.13176206216293151,-0.0248677554141475,0.0006659106146739594,0.1933436034492355
14,5005.0,c,50.03,50.43,13719.0,3894.0,14.0,50.230000000000004,0.1999999999999993,0.038356164383561646,5002.8761411272035,0.1313262968862546,0.00042443748798050144,0.0006615132809698454,0.1911975491171282
14,5130.0,c,11.37,11.47,10206.0,228.0,14.0,11.42,0.05000000000000071,0.038356164383561646,5002.8761411272035,0.13158760975184902,0.025092683903474775,0.0006641484563366267,0.15812777318892138
14,5255.0,c,1.39,1.4,18489.0,3726.0,14.0,1.395,0.0050000000000000044,0.038356164383561646,5002.8761411272035,0.1310516621620822,0.04916702904971107,0.0006587494087019818,0.23595238008408376
14,5380.0,c,0.08,0.08,18157.0,1858.0,14.0,0.08,0.0,0.038356164383561646,5002.8761411272035,0.12948082113794102,0.07267539889448969,0.0006430519523171962,3.0312095179158045
21,4505.0,p,0.02,0.02,11524.0,2772.0,21.0,0.02,0.0,0.057534246575342465,5004.316040796691,0.13318968888185104,-0.10511285718323565,0.0010206283772967938,3.908620334397663
21,4630.0,p,0.4,0.41,12255.0,163.0,21.0,0.405,0.004999999999999977,0.057534246575342465,5004.316040796691,0.13432464977336334,-0.07774388014539424,0.0010380968281410166,0.02564445801398331
21,4755.0,p,3.54,3.57,5892.0,2048.0,21.0,3.5549999999999997,0.014999999999999902,0.057534246575342465,5004.316040796691,0.1326970317908259,-0.05110405224618326,0.0010130919100493278,0.21954329556278518
21,4880.0,p,18.67,18.82,16522.0,300.0,21.0,18.745,0.07499999999999929,0.057534246575342465,5004.316040796691,0.13138318802351773,-0.025155528378481132,0.0009931298191772143,0.24415850092702457
21,5005.0,c,62.84,63.35,18394.0,1475.0,21.0,63.095,0.254999999999999,0.057534246575342465,5004.316040796691,0.13269504458069653,0.00013666452364702363,0.0010130615670732434,0.2392946646355356
21,5130.0,c,19.5,19.66,10347.0,3921.0,21.0,19.58,0.08000000000000007,0.057534246575342465,5004.316040796691,0.13133073531368122,0.024804910939141337,0.0009923369939689756,0.2341363738700265
21,5255.0,c,4.13,4.17,8650.0,4071.0,21.0,4.15,0.020000000000000018,0.057534246575342465,5004.316040796691,0.13101401649839486,0.04887925608537746,0.0009875565010955486,0.1682905342729091
21,5380.0,c,0.57,0.58,2569.0,459.0,21.0,0.575,0.0050000000000000044,0.057534246575342465,5004.316040796691,0.1305826500273064,0.07238762593015612,0.0009810641047979004,0.05169150392240899
21,5505.0,c,0.06,0.06,14482.0,814.0,21.0,0.06,0.0,0.057534246575342465,5004.316040796691,0.13184624875703,0.0953560219311064,0.0010001427384583926,3.908620334397663
35,4380.0,p,0.04,0.04,11164.0,892.0,35.0,0.04,0.0,0.0958904109589041,5007.197062200859,0.13612139337645507,-0.13382756552486919,0.0017767566594963475,2.686306474686739
35,4505.0,p,0.34,0.34,10108.0,3600.0,35.0,0.34,0.0,0.0958904109589041,5007.197062200859,0.1339980902738015,-0.10568839885292274,0.0017217591421805614,2.686306474686739
35,4630.0,p,2.39,2.41,3234.0,2924.0,35.0,2.4000000000000004,0.010000000000000009,0.0958904109589041,5007.197062200859,0.1352347538129798,-0.07831942181508128,0.0017536858968767231,0.15473125294195594
35,4755.0,p,10.33,10.42,15271.0,2084.0,35.0,10.375,0.04499999999999993,0.0958904109589041,5007.197062200859,0.13423857403896094,-0.05167959391587027,0.0017279447030150025,0.14279294216139662
35,4880.0,p,33.35,33.63,4170.0,1656.0,35.0,33.49,0.14000000000000057,0.0958904109589041,5007.197062200859,0.1342186052445604,-0.025731070048168117,0.0017274306569392594,0.153719790026009
